id_execucao;id_cenario;n_holders;distribuicao;parametro_dist;n_candidatos;tamanho_comite;turnout;n_aprovacoes;n_blocos;frac_proxy;tam_cartel;orcamento_suborno;frac_exchange;frac_colludida;n_rodadas;vantagem_incumbencia;reinveste_recompensa;metrica;camada;n_runs;seed_base;media;ic95
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;0.33333333;0.00000000
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;0.33333333;0.00000000
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.00000000;0.00000000
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.00000000;0.00000000
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.00000000;0.00000000
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.04200614;0.00191965
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.04196283;0.00193318
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;5.63333333;0.19898116
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;5.63333333;0.22005628
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.12957194;0.05914361
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;0.10820997;0.00634712
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;0.11016667;0.00680570
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.20376140;0.05914361
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.22512336;0.00634712
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.22316667;0.00680570
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.04256237;0.00148050
20260709_122851;10;200;pareto;1.5;93;31;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.04253806;0.00150486
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;5.33333333;0.19562416
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;5.33333333;0.17157374
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.06116862;0.05519035
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;-0.06686447;0.00972699
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;-0.06468667;0.00965946
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.27216471;0.05519035
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.40019780;0.00972699
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.39802000;0.00965946
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.04374417;0.00088051
20260709_122851;11;200;pareto;1.5;93;31;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.04373399;0.00088941
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;5.63333333;0.19898116
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;5.60000000;0.20155351
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.01329128;0.05218701
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;-0.21111774;0.01041507
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;-0.21105333;0.01015735
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.32004206;0.05218701
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.54445107;0.01041507
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.54438667;0.01015735
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.04412338;0.00063030
20260709_122851;12;200;pareto;1.5;93;31;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.04420171;0.00064791
20260709_122851;13;500;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;24.86666667;4.09705730
20260709_122851;13;500;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;2.96666667;0.06533333
20260709_122851;13;500;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;2.96666667;0.06533333
20260709_122851;13;500;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.33333333;0.00000000
20260709_122851;13;500;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;0.33333333;0.00000000
20260709_122851;13;500;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;0.33333333;0.00000000
20260709_122851;13;500;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.00000000;0.00000000
20260709_122851;13;500;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.00000000;0.00000000
20260709_122851;13;500;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.00000000;0.00000000
